 Shot Impactor      u_I (km/s)         T_0 (K)  rho_0 (g/cm^3)      u_p (km/s)  delta u_p (km/s)      u_s (km/s)  delta u_s (km/s)         P (GPa)    deltaP (GPa)    V (cm^3/mol)  deltaV (cm^3/mol)  V_0 (cm^3/mol)
 LHe4  Al      +2.53900000e+00 +4.31000000e+00 +1.23300000e-01 +2.47000000e+00 +2.00000000e-02   +4.05000000e+00 +6.00000000e-02   +1.23000000e+00 +2.00000000e-02 +1.27000000e+01 +4.00000000e-01    +3.24622871e+01
 LHe5  Al      +6.24300000e+00 +4.31000000e+00 +1.23300000e-01 +5.97000000e+00 +3.00000000e-02   +8.82000000e+00 +6.00000000e-02   +6.50000000e+00 +7.00000000e-02 +1.05000000e+01 +2.00000000e-01    +3.24622871e+01
 LHe2  Ta      +6.65800000e+00 +4.30000000e+00 +1.23500000e-01 +9.39000000e+00 +5.00000000e-02   +1.35000000e+01 +1.00000000e-01   +1.56000000e+01 +2.00000000e-01 +9.78000000e+00 +3.00000000e-01    +3.24097166e+01
